SampleID,SampleIDR,SampleType,SampleNeg,SampleOrNeg,SampleType2,SwabType,ExtractionDate,ExtractionStaff,ExtractionKit,DNAConc (ng/ul),ElutionVolume (uL),Notes,DNA.Plate,Well,SequencingRun,TidalZone,SubstrateDepth,Host,Radiusmm,Project,SiteType,LocationType,SiteID,Site,Date,Year,Month,YearMonth,Day,DayOfYear,WastingScore,WastingCategory,DermisType,SSWD,Sterivex,PCRcycles,LifeStage,Sequenced?,ReadCount,Season,Disease_Status_Star,DermisType2
QSMIC0001,QSMIC001,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.229,50,,Plate 1,1A,smic_run1,intertidal,bedrock,Pisaster ochraceus,90,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-05-26,2021,5,2021_5,26,146,1,Mild,H,QSSWD0001,QMIC4254,30,Adult,Yes,#N/A,Spring,diseased,H_diseased
QSMIC0003,QSMIC003,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.36,50,,Plate 1,1B,smic_run1,intertidal,bedrock,Pisaster ochraceus,60,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-05-26,2021,5,2021_5,26,146,0,Healthy,H,QSSWD0002,QMIC4254,30,Adult,Yes,#N/A,Spring,healthy,H_healthy
QSMIC0004,QSMIC004,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.968,50,,Plate 1,1C,smic_run1,intertidal,bedrock,Pisaster ochraceus,110,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-05-26,2021,5,2021_5,26,146,0,Healthy,H,QSSWD0003,QMIC4254,30,Adult,Yes,27756,Spring,healthy,H_healthy
QSMIC0006,QSMIC006,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.267,50,,Plate 1,1D,smic_run1,intertidal,bedrock,Dermasterias imbricata,45,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-05-26,2021,5,2021_5,26,146,0,Healthy,H,QSSWD0005,QMIC4254,30,Adult,Yes,#N/A,Spring,healthy,H_healthy
QSMIC0011,QSMIC011,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.276,50,,Plate 1,1E,smic_run1,intertidal,bedrock,Dermasterias imbricata,60,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-05-26,2021,5,2021_5,26,146,0,Healthy,H,QSSWD0010,QMIC4254,30,Adult,Yes,20011,Spring,healthy,H_healthy
QSMIC0012,QSMIC012,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.265,50,,Plate 1,1F,smic_run1,intertidal,bedrock,Dermasterias imbricata,65,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-05-26,2021,5,2021_5,26,146,0,Healthy,H,QSSWD0011,QMIC4254,30,Adult,Yes,#N/A,Spring,healthy,H_healthy
QSMIC0024,QSMIC024,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.909,50,accidentially rotated first two columns of Plate 1 - updated the Extraction well column accordingly,Plate 1,1G,smic_run1,intertidal,bedrock,Dermasterias imbricata,90,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-05-27,2021,5,2021_5,27,147,0,Healthy,H,QSSWD0023,QMIC4255,30,Adult,Yes,33266,Spring,healthy,H_healthy
QSMIC0025,QSMIC025,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.262,50,swab a bit liquid-y,Plate 1,1H,smic_run1,intertidal,bedrock,Dermasterias imbricata,63,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-05-27,2021,5,2021_5,27,147,0,Healthy,H,QSSWD0024,QMIC4255,30,Adult,Yes,19933,Spring,healthy,H_healthy
QSMIC0027,QSMIC027,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.195,50,,Plate 1,2A,smic_run1,intertidal,bedrock,Pisaster ochraceus,95,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-05-27,2021,5,2021_5,27,147,4,Severe,H,QSSWD0025,QMIC4255,30,Adult,Yes,6124,Spring,diseased,H_diseased
QSMIC0028,QSMIC028,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.69,50,,Plate 1,2B,smic_run1,intertidal,bedrock,Pisaster ochraceus,125,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-05-27,2021,5,2021_5,27,147,0,Healthy,H,QSSWD0026,QMIC4255,30,Adult,Yes,14994,Spring,healthy,H_healthy
QSMIC0029,QSMIC029,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.273,50,,Plate 1,2C,smic_run1,intertidal,bedrock,Pisaster ochraceus,135,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-05-27,2021,5,2021_5,27,147,0,Healthy,H,QSSWD0027,QMIC4255,30,Adult,Yes,30004,Spring,healthy,H_healthy
Ext_Neg_P1_2E,SSWDN001,Swab,Negative,ExtNeg,SwabExtNeg,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.16,50,SSWDN001,Plate 1,2D,smic_run1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA,NA,#VALUE!,NA,Severe,NA,NA,NA,30,NA,Yes,#N/A,#N/A,,NA_
QSMIC0031,QSMIC031,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.163,50,,Plate 1,2E,smic_run1,intertidal,bedrock,Dermasterias imbricata,75,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-05-27,2021,5,2021_5,27,147,0,Healthy,H,QSSWD0029,QMIC4255,30,Adult,Yes,22818,Spring,healthy,H_healthy
